13.Kalutara~KALU/SRI SADDHARMODAYA  PIRIVENA                  ~WALAPALA, PANADURA                                 ~~0382233095
13.Kalutara~SRI GNANALOKA MAHA PIRIVENA                       ~ATHURA, BULATHSINGHALA                             ~~0342283183
13.Kalutara~KA/GALLENA RAJA MAHA VIHARA MAHA PIRIVENA         ~WARAKAGODA , NABODA                                ~~0342242011
13.Kalutara~HO/VIDYASHEKARA MULIKA PIRIVENA                   ~BALLAPITIYA , HORANA                               ~~0342261541
13.Kalutara~KALU/SRI DASSANASARA DHARMAYATHANA MULIKA PIRIVENA~SUBODIRAJARAMA  VIHARAYA, BOMBUWALA, KALUTARA SOUTH ~~0342281481
13.Kalutara~KALU/ SIRI SARANANKARA MAHA PIRIVENA              ~ASHOKARAMA MAHA VIHARAYA, KALUTARA SOUTH          ~~0342238676
13.Kalutara~KA/SIRINANDA THRIPITAKA DHARMAYATHANA  PIRIVENA   ~MALEGODA, PAYAGALA                                 ~~0342222773
13.Kalutara~KA/SRI VIMALAKEERTHI MULIKA PIRIVENA              ~VIMALAKEERTHI MAWATHA, KESELWATTA, PANADURA         ~~0382232176
13.Kalutara~KALU/SRI VIJAYA SAUGATHA VIDYALAYA MAHA PIRIVENA  ~WALANA, PANADURA                                   ~~0382232575
13.Kalutara~KALU/VIDYAWARDENA MULIKA PIRIVENA                 ~DIPALOKA MAHA VIHARAYA , INGIRIYA                  ~~0342269341
13.Kalutara~PAHIYAN INTERNATIONAL BHIKSU TRAINING  PIRIVENA   ~CHINA FRIENDSHIP VILLAGE, BULATHSINHALA            ~~0342268499
13.Kalutara~KALU/SIRI MAHA MIHINDU MULIKA PIRIVENA            ~SAMUDRARAMAYA, DAMPIYAGAMA , WADDUWA               ~~0382232564
13.Kalutara~SIRI GANANANDA MULIKA PIRIVENA                    ~VEEDAGAMA, BANDARAGAMA                             ~~0382290892
13.Kalutara~KALU/SRI UPARITHANA MULIKA PIRIVENA               ~SRI JINENDRARAMAYA, LECHCHANDUWA, WALIPENNA         ~~0342274027
13.Kalutara~KA/SEELASUMANA VIDYATHILAKA MAHA PIRIVENA         ~KALUWAMODARA , ALUTHGAMA                           ~~0342272064
13.Kalutara~KA/SUNANDARAMA MULIKA PIRIVENA                    ~OVITAGALA, MATUGAMA                               ~~0342247106
13.Kalutara~SRI GANGATHILAKA MULIKA PIRIVENA                  ~KESELWATTA, PANADURA                              ~~0383399495
13.Kalutara~KA/SRI PUGNGNARATHANA MULIKA PIRIVENA             ~KINDELPITIYA, MILLAWA                              ~~0343744250
13.Kalutara~SRI DHARMAYATHANA BIKSU TRAINING MULIKA PIRIVENA  ~LIYANWALA, YATIYANA, AGALAWATTA                     ~~0342247054
